dataParallelism;executorCore;learningRate;batchSize;replication;runningTime;accuracy
1;1000m;0.01;128;2;190.39603328704834;90.02333323160808
1;1000m;0.01;256;2;201.07652974128723;89.88999938964844
1;1000m;0.01;512;2;180.4158397515615;89.08666737874348
1;1000m;0.02;128;2;192.3618045647939;89.5999984741211
1;1000m;0.02;256;2;221.31939101219177;89.6500015258789
1;1000m;0.02;512;2;183.33657463391623;89.98666636149089
1;1000m;0.04;128;2;197.72769983609518;89.40333048502605
1;1000m;0.04;256;2;181.58748348553976;88.74666595458984
1;1000m;0.04;512;2;180.8689743677775;88.01333109537761
1;1125m;0.01;128;2;190.20871575673422;89.76333363850911
1;1125m;0.01;256;2;158.72048910458884;89.18000030517578
1;1125m;0.01;512;2;157.15961360931396;89.1133321126302
1;1125m;0.02;128;2;169.84102765719095;90.3866678873698
1;1125m;0.02;256;2;161.5470962524414;90.24999745686848
1;1125m;0.02;512;2;153.15258208910623;88.9933344523112
1;1125m;0.04;128;2;171.48042225837708;89.62666575113933
1;1125m;0.04;256;2;157.65893244743347;89.56666819254558
1;1125m;0.04;512;2;157.85145727793375;88.09666697184245
1;1250m;0.01;128;2;149.94323762257895;89.88333129882812
1;1250m;0.01;256;2;143.09699988365173;89.1999994913737
1;1250m;0.01;512;2;137.5247664451599;89.22666422526042
1;1250m;0.02;128;2;151.65964539845785;90.36666361490886
1;1250m;0.02;256;2;141.84687987963358;89.44666544596355
1;1250m;0.02;512;2;147.5470507144928;89.3633321126302
1;1250m;0.04;128;2;151.84589004516602;89.39333089192708
1;1250m;0.04;256;2;141.30470069249472;89.08000183105469
1;1250m;0.04;512;2;140.20107531547546;88.4066645304362
2;1000m;0.01;128;2;98.74490420023601;86.32666524251302
2;1000m;0.01;256;2;92.44439752896626;88.23333231608073
2;1000m;0.01;512;2;96.36591506004333;87.72666676839192
2;1000m;0.02;128;2;98.41666531562805;87.95333353678386
2;1000m;0.02;256;2;92.84482407569885;88.66666666666667
2;1000m;0.02;512;2;93.41331934928894;87.74666595458984
2;1000m;0.04;128;2;96.77312270800273;86.65333557128906
