jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments
trainjob-ac4c3d82-3f4b-41f1-a90e-6c663fed526f-master-0   1/1     Running           0          6s,4,1250m,0.01,16,1,
trainjob-20f1bb40-28a3-4f08-9b4e-be09e33273f2-master-0   1/1     Running   0          7s,4,1250m,0.01,16,2,
trainjob-37be2e53-0dd6-4bcf-9f87-844601c6b9c8-master-0   1/1     Running   0          6s,4,1250m,0.01,16,3,
trainjob-0d288a95-ae73-4b32-98d7-3300ff23e4cb-master-0   1/1     Running           0          6s,4,1250m,0.01,32,1,
trainjob-1740bf00-d2f6-45b7-9be7-cdc205841629-master-0   1/1     Running   0          5s,4,1250m,0.01,32,2,
trainjob-16264307-4e1a-499c-a61e-405443f54b3a-master-0   1/1     Running   0          5s,4,1250m,0.01,32,3,
trainjob-1aad1abf-f55d-4c14-bc68-026c3f8d0d8e-master-0   1/1     Running           0          8s,4,1250m,0.01,48,1,
trainjob-c2907aed-ab57-49a9-b681-043741df8dcf-master-0   1/1     Running   0          7s,4,1250m,0.01,48,2,
trainjob-436b8607-8026-467b-956e-da451a4b8ea0-master-0   1/1     Running           0          6s,4,1250m,0.01,48,3,
trainjob-cd03a585-a94e-47e1-b816-8c97b932de45-master-0   1/1     Running           0          6s,4,1250m,0.01,64,1,
trainjob-7afaa96b-0be7-4419-b4fa-e45065da3974-master-0   1/1     Running           0          6s,4,1250m,0.01,64,2,
trainjob-7adb1c31-ffed-4c17-948f-df262c067ffd-master-0   1/1     Running   0          5s,4,1250m,0.01,64,3,
trainjob-6855588c-c997-43e8-9537-d2368df4c5b9-master-0   1/1     Running           0          7s,4,1250m,0.01,80,1,
trainjob-e7c2a769-5605-4b9f-97a2-e958ef6b6389-master-0   1/1     Running           0          5s,4,1250m,0.01,80,2,
trainjob-ceae0387-7219-40e4-afd7-a6667c1bcec6-master-0   1/1     Running           0          6s,4,1250m,0.01,80,3,
trainjob-1603fa58-789e-45b4-a625-7bc70df754f8-master-0   1/1     Running           0          9s,4,1250m,0.01,96,1,
trainjob-2e707b8c-e618-43a9-af07-1e239f42d179-master-0   1/1     Running   0          6s,4,1250m,0.01,96,2,
trainjob-9d2936c9-32f6-4a96-8771-6d934a6cd0c0-master-0   1/1     Running   0          6s,4,1250m,0.01,96,3,
trainjob-25208d78-31ed-4ec7-b292-1d062e7c454a-master-0   1/1     Running           0          6s,4,1250m,0.01,112,1,
trainjob-54199876-31ad-490c-96c2-5d47e35552d7-master-0   1/1     Running   0          5s,4,1250m,0.01,112,2,
trainjob-d73c7550-9cf1-456a-a0ba-79eedb939b5c-master-0   1/1     Running   0          5s,4,1250m,0.01,112,3,
trainjob-315f806b-0367-4fe0-9730-2e6fe56fa328-master-0   1/1     Running           0          7s,4,1250m,0.01,128,1,
trainjob-45d675b2-8f0f-4a7d-8198-bf7403da374f-master-0   1/1     Running   0          5s,4,1250m,0.01,128,2,
trainjob-4df93999-6ca2-487d-9b2f-a5de1a5be6a2-master-0   1/1     Running   0          6s,4,1250m,0.01,128,3,
trainjob-f5e7dc11-96b6-485f-8e32-a3f36d0c934f-master-0   1/1     Running           0          6s,4,1250m,0.01,144,1,
trainjob-743cf046-eae1-4f67-b3b5-1dc109990ac7-master-0   1/1     Running   0          5s,4,1250m,0.01,144,2,
trainjob-d18b8bea-cde6-4739-b42a-872a4b11003f-master-0   1/1     Running   0          6s,4,1250m,0.01,144,3,
trainjob-e2cfbaa4-29e5-4433-a84a-a81e8f564f93-master-0   1/1     Running           0          6s,4,1250m,0.01,160,1,
trainjob-a0dd9372-8c7c-4570-87de-26058906668d-master-0   1/1     Running   0          6s,4,1250m,0.01,160,2,
trainjob-71b30a37-91f4-42ea-9b2a-b7d95be41a8b-master-0   1/1     Running   0          6s,4,1250m,0.01,160,3,
trainjob-bb76e00d-b28a-4ad1-ad7d-d2f0449b65bf-master-0   1/1     Running           0          7s,4,1250m,0.01,176,1,
trainjob-b1aac359-19c5-4cf9-9208-b1409e346737-master-0   1/1     Running   0          5s,4,1250m,0.01,176,2,
trainjob-e0312436-946a-41e9-8b2f-ddf31703dac3-master-0   1/1     Running   0          6s,4,1250m,0.01,176,3,
trainjob-a33f8869-dda6-40a6-82e4-bf0c2c099600-master-0   1/1     Running           0          9s,4,1250m,0.01,192,1,
trainjob-925dbbca-b065-40cd-802c-43a9d9f95c3e-master-0   1/1     Running           0          12s,4,1250m,0.01,192,2,
trainjob-06b3fb33-84e6-4fbb-9309-51a34d320ab2-master-0   1/1     Running   0          8s,4,1250m,0.01,192,3,
trainjob-9baa95ff-7ef9-4daf-8d9f-93490b733981-master-0   1/1     Running           0          6s,4,1250m,0.01,208,1,
trainjob-34096d46-57ea-4a5e-b01e-a9df4f019ab9-master-0   1/1     Running           0          5s,4,1250m,0.01,208,2,
trainjob-4b0c5396-c07e-4d6b-8715-5d33dc98f400-master-0   1/1     Running   0          7s,4,1250m,0.01,208,3,
trainjob-6861b593-078c-4d4e-9ecc-e91587b606a9-master-0   1/1     Running           0          8s,4,1250m,0.01,224,1,
trainjob-9c36c811-2af8-4687-84c4-3b8f8c51f5be-master-0   1/1     Running   0          5s,4,1250m,0.01,224,2,
trainjob-877effd5-a838-4cb9-b3bb-90028678b83d-master-0   1/1     Running   0          6s,4,1250m,0.01,224,3,
trainjob-c15d4010-b2fd-4f92-8052-281749c7673f-master-0   1/1     Running           0          7s,4,1250m,0.01,240,1,
trainjob-6f768abe-6da1-4a61-ab85-edfc926e47ed-master-0   1/1     Running   0          7s,4,1250m,0.01,240,2,
trainjob-06d17451-ceb4-41f0-bf3f-827a861e5536-master-0   1/1     Running   0          6s,4,1250m,0.01,240,3,
trainjob-baa2e522-7626-48bf-875b-2155ef6d6927-master-0   1/1     Running           0          6s,4,1250m,0.01,256,1,
trainjob-3757ba82-e933-4e4c-aa82-821ae2f9e0c3-master-0   1/1     Running           0          6s,4,1250m,0.01,256,2,
trainjob-0109deb7-fe59-4c8f-b1c9-b04348c847f0-master-0   1/1     Running   0          5s,4,1250m,0.01,256,3,
trainjob-0ea09f2c-fedb-4ed5-a932-d18ed22a2a90-master-0   1/1     Running           0          7s,4,1250m,0.01,272,1,
trainjob-57d9e99b-a2d4-424e-9e00-ef782a83c1d0-master-0   1/1     Running   0          6s,4,1250m,0.01,272,2,
trainjob-075ca5e1-9a20-4d23-9b8c-b22e97eaa092-master-0   1/1     Running           0          6s,4,1250m,0.01,272,3,
trainjob-cf466230-9e22-4803-b1b2-61fd64b86fa5-master-0   1/1     Running           0          7s,4,1250m,0.01,288,1,
trainjob-06cc5300-2027-4de6-ac28-4ca470fa76ba-master-0   1/1     Running   0          6s,4,1250m,0.01,288,2,
trainjob-31a65b84-faba-4d01-952c-086dc742dfb0-master-0   1/1     Running   0          8s,4,1250m,0.01,288,3,
trainjob-e9c58ed7-b264-4be2-b955-d88c339147dc-master-0   1/1     Running           0          7s,4,1250m,0.01,304,1,
trainjob-8e98a8d1-003c-4ed1-ac06-116f7462aa93-master-0   1/1     Running   0          6s,4,1250m,0.01,304,2,
trainjob-5c0125d2-d01c-4d7e-888d-0e1db5cc4323-master-0   1/1     Running           0          5s,4,1250m,0.01,304,3,
trainjob-eb8ecc1b-0d0b-4a07-a8b3-367e08e601ca-master-0   1/1     Running           0          6s,4,1250m,0.01,320,1,
trainjob-eed534aa-0ad8-449c-b929-bf8d37fc02fc-master-0   1/1     Running   0          5s,4,1250m,0.01,320,2,
trainjob-963ddfea-43e0-4e00-9e33-d94a5c32b6bd-master-0   1/1     Running   0          5s,4,1250m,0.01,320,3,
trainjob-cd276067-6a4a-4f4b-834a-adc044bebf22-master-0   1/1     Running           0          6s,4,1250m,0.01,336,1,
trainjob-b5f6ecd8-07bf-4753-a573-7f596c9d8091-master-0   1/1     Running   0          6s,4,1250m,0.01,336,2,
trainjob-cc569006-dedb-4c2b-ae38-3e52991751bd-master-0   1/1     Running           0          5s,4,1250m,0.01,336,3,
trainjob-5caf6c42-ccc4-4e9e-bbac-b95aa6d53e40-master-0   1/1     Running           0          6s,4,1250m,0.01,352,1,
trainjob-73c6cc79-433f-40ec-8fd6-951b838bd77a-master-0   1/1     Running           0          6s,4,1250m,0.01,352,2,
