jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments
trainjob-8cb530b7-a690-4978-9b64-11860b4d4000-master-0   1/1     Running   0          7s,4,1250m,0.01,128,1,
trainjob-c91b39c2-2142-46c8-8a75-b121aab121c1-master-0   1/1     Running   0          7s,4,1250m,0.01,128,2,
trainjob-98ddc9f8-d215-4fe5-a9ef-553610703fa1-master-0   1/1     Running   0          7s,4,1250m,0.01,128,3,
trainjob-5e93006b-5822-4282-8cee-ae2643d52b1a-master-0   1/1     Running           0          6s,4,1250m,0.01,256,1,
trainjob-477bb06c-e4d9-4c85-bf28-d2e21e8fc9d3-master-0   1/1     Running   0          5s,4,1250m,0.01,256,2,
trainjob-79fda14e-e199-453a-b27f-1b3fa965983c-master-0   1/1     Running   0          5s,4,1250m,0.01,256,3,
trainjob-da02585e-ebca-463d-ae86-0c9648d2b34f-master-0   1/1     Running           0          7s,4,1250m,0.01,512,1,
trainjob-8e44ee7f-d4db-4149-8693-2e78ba98f1d7-master-0   1/1     Running           0          5s,4,1250m,0.01,512,2,
trainjob-9fb08847-b795-4ca4-9057-454073a876e8-master-0   1/1     Running   0          7s,4,1250m,0.01,512,3,
trainjob-43296bdb-dc71-4bc4-80af-3887f34d2e14-master-0   1/1     Running           0          7s,4,1250m,0.02,128,1,
trainjob-9e575361-071b-424d-9c34-ace38783d01b-master-0   1/1     Running   0          6s,4,1250m,0.02,128,2,
trainjob-0e5c1c97-1788-4382-a647-d5dbfcca4ac2-master-0   1/1     Running   0          5s,4,1250m,0.02,128,3,
trainjob-45137eb3-62e6-4ea0-a07e-83e869dc9a86-master-0   1/1     Running           0          7s,4,1250m,0.02,256,1,
trainjob-66d6672b-872d-42e5-8c45-0ac6c9f4a1cc-master-0   1/1     Running   0          6s,4,1250m,0.02,256,2,
trainjob-30c10e6a-4056-49c5-a898-bd934a6dee04-master-0   1/1     Running   0          6s,4,1250m,0.02,256,3,
trainjob-6d0fbf52-c76b-499f-b158-5c57d1bb4849-master-0   1/1     Running           0          7s,4,1250m,0.02,512,1,
trainjob-4478c33e-d2aa-426f-9d10-efd23b903681-master-0   1/1     Running   0          5s,4,1250m,0.02,512,2,
trainjob-2d5d5915-a1f6-4dcf-994f-dc39e18b28ae-master-0   1/1     Running   0          6s,4,1250m,0.02,512,3,
trainjob-6a77b36d-434b-4cbe-980e-d64319541667-master-0   1/1     Running           0          7s,4,1250m,0.04,128,1,
trainjob-d27a6dbb-b3e5-43d4-8ac6-4388216db954-master-0   1/1     Running   0          6s,4,1250m,0.04,128,2,
trainjob-86de8342-034d-4744-9f93-c841bb1cc938-master-0   1/1     Running   0          6s,4,1250m,0.04,128,3,
trainjob-389331d5-8254-4d3c-8e19-94c02ef5217b-master-0   1/1     Running           0          6s,4,1250m,0.04,256,1,
trainjob-9b3c99c9-713a-40e2-a241-9b034f7ca85e-master-0   1/1     Running   0          6s,4,1250m,0.04,256,2,
trainjob-c3e95668-a9ef-4673-836d-013ac10296f9-master-0   1/1     Running   0          6s,4,1250m,0.04,256,3,
trainjob-921831ae-8fe6-4597-a9a6-7d013478dfed-master-0   1/1     Running           0          7s,4,1250m,0.04,512,1,
trainjob-c2518e26-460b-450c-b214-81386933252d-master-0   1/1     Running   0          6s,4,1250m,0.04,512,2,
trainjob-2159c5b0-3046-42eb-be3f-119beb01be03-master-0   1/1     Running   0          6s,4,1250m,0.04,512,3,
trainjob-f8e9f06c-b688-4585-817e-ac72955f48ee-master-0   1/1     Running           0          7s,4,1125m,0.01,128,1,
trainjob-017f475a-084a-4649-9721-bb3e15e987cb-master-0   1/1     Running   0          6s,4,1125m,0.01,128,2,
trainjob-550e4250-0512-40ef-8150-10f5e4f7e903-master-0   1/1     Running   0          6s,4,1125m,0.01,128,3,
trainjob-87b67040-929e-4d28-954f-054c86c40605-master-0   1/1     Running           0          6s,4,1125m,0.01,256,1,
trainjob-104ed98d-7f22-45ba-ae22-e046ba72e11e-master-0   1/1     Running           0          6s,4,1125m,0.01,256,2,
trainjob-f737381c-4cdd-4fba-bd6c-be4bf203d80c-master-0   1/1     Running   0          6s,4,1125m,0.01,256,3,
trainjob-a69e1992-f371-4ab5-8dfc-0948a073e3e6-master-0   1/1     Running           0          7s,4,1125m,0.01,512,1,
trainjob-5ec8f535-ed8e-472c-96b1-99db13298866-master-0   1/1     Running   0          7s,4,1125m,0.01,512,2,
trainjob-ce643d2d-a7d2-4c64-829f-faab3a68ec57-master-0   1/1     Running   0          6s,4,1125m,0.01,512,3,
trainjob-f1c12f95-e446-4550-96ce-2776e5f377c0-master-0   1/1     Running   0          9s,4,1125m,0.02,128,1,
trainjob-7a8db345-ef16-45e4-9547-c81131e662ee-master-0   1/1     Running   0          6s,4,1125m,0.02,128,2,
trainjob-50bb1954-839a-4bc7-8b0b-6731b0e05ba8-master-0   1/1     Running   0          6s,4,1125m,0.02,128,3,
trainjob-2851e03e-a4c3-4b54-bff2-8e9a6be420b7-master-0   1/1     Running           0          7s,4,1125m,0.02,256,1,
trainjob-612c0cbf-1b28-4460-b19d-939860f5f01b-master-0   1/1     Running   0          5s,4,1125m,0.02,256,2,
trainjob-c6428df3-43ca-44bc-9e66-1998ad9963b4-master-0   1/1     Running           0          6s,4,1125m,0.02,256,3,
trainjob-0a99a908-7dea-440a-beb1-5d84d356e64b-master-0   1/1     Running           0          9s,4,1125m,0.02,512,1,
trainjob-02ca1a9d-8e89-419b-82ee-4746ac4a14cb-master-0   1/1     Running   0          5s,4,1125m,0.02,512,2,
trainjob-a3ae210b-6c53-4a3b-82ec-e98c29835084-master-0   1/1     Running   0          6s,4,1125m,0.02,512,3,
trainjob-e4954486-5702-49c6-a0d7-1a7ac6748809-master-0   1/1     Running           0          6s,4,1125m,0.04,128,1,
trainjob-46ed71ea-8013-4432-9909-6a9b52ab90f3-master-0   1/1     Running   0          6s,4,1125m,0.04,128,2,
trainjob-1121dc96-203c-4e92-86e0-a60136de535b-master-0   1/1     Running   0          6s,4,1125m,0.04,128,3,
trainjob-be723f48-eba4-4222-b409-9eed2e960a59-master-0   1/1     Running           0          6s,4,1125m,0.04,256,1,
trainjob-89c36f60-f8ae-41d5-8a61-bad43afb6923-master-0   1/1     Running   0          5s,4,1125m,0.04,256,2,
trainjob-348d6b59-7c10-46a3-95ed-46f70643666f-master-0   1/1     Running   0          6s,4,1125m,0.04,256,3,
